ts_code,start_date,hy_code
000679,2021/7/30,450303
000679,2022/7/29,450301
000680,1997/1/22,260202
000680,2014/1/1,640201
000680,2021/7/30,640601
000681,1997/1/21,350201
000681,2011/10/10,510101
000681,2014/1/1,720102
000681,2019/7/24,720301
000681,2021/7/30,720703
000682,1997/1/21,470301
000682,2008/6/2,470303
000682,2013/7/1,260402
000682,2014/1/1,630201
000682,2021/7/30,630803
000683,1997/1/31,220201
000683,2011/1/10,210201
000683,2015/7/1,220201
000685,1997/1/23,450101
000685,2009/1/1,410201
000685,2021/7/30,760102
000686,1997/2/27,220103
000686,2007/7/2,440301
000686,2014/1/1,490101
000687,1997/2/21,220403
000687,2008/6/2,730201
000687,2019/7/24,650201
000688,1996/12/18,250103
000688,2003/5/1,320201
000688,2013/7/1,240104
000688,2014/1/1,240303
000689,1996/12/31,240101
000690,1997/1/28,250201
000690,2007/7/2,410101
000690,2017/5/26,410105
000690,2021/7/30,410101
000691,1997/2/28,460201
000691,2007/7/2,510101
000691,2012/1/8,430101
000691,2022/7/29,220204
000692,1997/2/27,410104
000693,1990/9/1,220401
000693,2000/5/1,470202
000693,2011/10/10,470203
000693,2013/7/1,240106
000693,2014/1/1,720303
000693,2014/1/9,240504
000695,1997/2/18,220305
000695,2006/9/1,410104
000695,2019/7/24,360201
000695,2021/7/30,360202
000697,1997/3/25,270301
000697,2011/10/10,240106
000697,2014/1/1,240504
000697,2019/7/24,650201
000698,1997/2/20,220202
000698,2010/1/1,220101
000698,2021/7/30,750301
000699,1997/3/10,360101
000700,1997/2/28,310201
000700,2014/1/1,280201
000700,2021/7/30,280202
000701,1997/2/26,470201
000701,2007/7/2,510101
000701,2015/7/1,270203
000701,2021/7/30,270401
000702,1997/3/18,110401
000702,2021/7/30,110402
000703,1990/2/26,320101
000703,2001/9/1,360201
000703,2007/7/2,510101
000703,2011/1/10,220401
000703,2021/7/30,750301
000705,1997/4/10,370401
000705,2021/7/30,370402
000707,1997/4/15,220201
000708,1997/3/21,230102
000708,2021/7/30,230501
000709,1997/4/16,230101
000709,2021/7/30,230402
000710,1997/4/22,310201
000710,2011/10/10,510101
000710,2012/10/8,310201
000710,2014/1/1,280201
000710,2018/7/13,370501
000710,2021/7/30,370504
000710,2022/7/29,370602
000711,1997/4/11,460201
000711,2007/7/2,430101
000711,2013/1/1,510101
000711,2018/7/13,410401
000711,2021/7/30,760103
000711,2022/7/29,760104
000712,1997/3/21,350102
000712,2007/7/2,430101
000712,2009/6/1,410201
000712,2014/1/16,490101
000713,1997/4/22,110101
000715,1997/5/8,450101
000715,2014/1/1,450301
000716,1997/4/3,510101
000716,2007/7/2,340103
000716,2011/1/10,340404
000716,2021/7/30,340802
000716,2022/7/29,340801
000717,1997/5/8,230101
000717,2021/7/30,230401
000718,1997/4/8,360101
000718,2006/9/1,430101
000719,1997/3/31,220201
000719,2011/10/10,470401
000719,2014/1/1,720101
000719,2021/7/30,720902
000720,1997/4/22,260404
000720,2003/5/1,410101
000720,2021/7/30,430103
000720,2022/7/29,630805
000721,1997/4/25,460401
000721,2021/7/30,460902
000722,1997/5/22,110102
000722,2007/7/2,270201
000722,2010/6/1,510101
000722,2013/1/1,410102
000723,1997/5/15,260402
000723,2003/9/30,260404
000723,2007/7/2,210202
000723,2021/7/30,740201
000725,2001/1/12,270301
000726,2000/12/25,350102
000727,1997/5/20,270301
000728,1997/6/16,220202
000728,2007/7/2,440301
000728,2014/1/1,490101
000729,1997/7/16,340302
000729,2021/7/30,340601
000730,1997/5/22,410401
000731,1997/6/17,220301
000731,2021/7/30,220801
000732,1997/7/4,220303
000732,2011/1/10,430101
000733,1997/7/3,270201
000733,2011/1/10,270203
000733,2021/7/30,650501
000735,1997/6/11,110401
000735,2011/1/10,110701
000735,2021/7/30,110702
000736,1997/4/25,260405
000736,2007/7/2,430101
000737,1997/4/28,220304
000737,2019/7/24,220309
000737,2021/7/30,220203
000737,2022/7/29,240302
000738,1997/6/26,310301
000738,2007/7/2,310201
000738,2009/6/1,310304
000738,2014/1/1,650201
000739,1997/4/22,450102
000739,2002/9/1,370101
000748,1997/7/4,320201
000748,2014/1/1,710101
000750,1997/7/9,370301
000750,2007/7/2,440301
000750,2014/1/1,490101
000751,1997/6/26,240101
000751,2007/7/2,240104
000751,2014/1/1,240303
000752,1997/6/25,340302
000752,2021/7/30,340601
000753,1997/6/11,430101
000753,2002/5/1,420201
000753,2009/6/1,450201
000753,2012/7/2,450102
000753,2014/1/1,450401
000753,2015/7/1,280301
000753,2021/7/30,510101
000755,1997/6/27,220402
000755,2011/10/10,220702
000755,2014/1/1,220313
000755,2018/11/19,420201
000755,2021/7/30,420901
000756,1997/8/6,370101
000757,1997/6/27,260104
000757,2013/7/1,310201
000757,2014/1/1,280201
000757,2021/7/30,280303
000758,1997/3/27,250201
000758,2005/9/1,240101
000758,2007/7/2,240104
000758,2014/1/1,240303
000759,1997/5/19,450101
000759,2005/1/1,450102
000759,2014/1/1,450302
000760,1988/1/1,310201
000760,2003/5/1,430101
000760,2009/10/9,310201
000760,2014/1/1,280201
000760,2021/7/30,280203
000761,1998/1/15,230101
000761,2021/7/30,230402
000762,1997/7/8,210301
000762,2021/7/30,240603
000763,1997/9/15,220101
000765,1989/11/12,450101
000765,2001/5/1,320201
000766,1997/4/30,370201
000766,2019/7/24,370102
000767,1997/6/9,410101
000768,1997/6/26,310303
000768,2007/7/2,310304
000768,2014/1/1,650201
000769,1997/5/13,360201
000769,2006/9/1,110601
000776,1997/6/11,420201
000776,2007/7/2,440301
000776,2014/1/1,490101
000777,1997/7/10,260102
000777,2014/1/1,640102
000777,2021/7/30,640108
000778,1997/6/6,230201
000778,2008/6/2,260501
000778,2009/1/1,230101
000778,2021/7/30,230403
000779,1997/5/28,350101
000779,2019/7/24,620303
000779,2021/7/30,620601
000780,1997/6/6,110503
000780,2007/7/2,210201
000780,2021/7/30,740101
000782,1997/6/19,220404
000782,2021/7/30,220406
